"timestamp","rrqm/s","%util","wkB/s","avgrq-sz","svctm","rkB/s","wrqm/s","r/s","await","r_await","w/s","avgqu-sz","w_await"
"1579134111000","0.00","7.28","2401.20","50.60","0.77","0.00","444.00","0.00","2.47","0.00","94.90","0.23","2.47"
"1579134121000","0.00","5.61","3274.40","27.26","0.23","0.00","529.00","0.00","4.80","0.00","240.20","1.15","4.80"
"1579134131000","0.00","5.43","2135.20","56.71","0.72","0.00","401.70","0.00","2.10","0.00","75.30","0.16","2.10"
"1579134141000","0.00","7.23","2142.40","50.53","0.85","0.00","391.10","0.00","2.48","0.00","84.80","0.21","2.48"
"1579134151000","0.00","6.66","3256.40","27.02","0.28","0.00","525.00","0.00","12.51","0.00","241.00","3.02","12.51"
"1579134161000","0.00","6.81","2118.00","49.78","0.80","0.00","390.00","0.00","2.21","0.00","85.10","0.19","2.21"
"1579134171000","0.00","6.91","2474.40","54.68","0.76","0.00","458.40","0.00","1.84","0.00","90.50","0.17","1.84"
"1579134181000","0.00","5.87","2222.40","51.27","0.68","0.00","410.90","0.00","1.99","0.00","86.70","0.17","1.99"
"1579134191000","0.00","6.98","3276.80","27.09","0.29","0.00","527.90","0.00","4.97","0.00","241.90","1.21","4.97"
"1579134201000","0.00","5.17","2159.20","52.60","0.63","0.00","400.60","0.00","2.01","0.00","82.10","0.17","2.01"
"1579134211000","0.00","3.80","1818.40","61.54","0.64","0.00","345.00","0.00","2.13","0.00","59.10","0.13","2.13"
"1579134221000","0.00","24.02","3269.20","26.62","0.98","0.00","507.20","0.00","13.32","0.00","245.60","3.27","13.32"
"1579134231000","0.00","7.89","2384.42","54.43","0.90","0.00","448.05","0.00","2.09","0.00","87.61","0.18","2.09"
"1579134241000","0.00","11.86","2242.80","51.38","1.36","0.00","417.50","0.00","3.00","0.00","87.30","0.26","3.00"
"1579134251000","0.00","9.52","2487.60","52.70","1.01","0.00","468.00","0.00","2.24","0.00","94.40","0.21","2.24"
"1579134261000","0.00","23.36","3235.20","26.22","0.95","0.00","504.90","0.00","18.05","0.00","246.80","4.45","18.05"
"1579134271000","0.00","8.55","2038.80","56.71","1.19","0.00","382.20","0.00","3.77","0.00","71.90","0.27","3.77"
"1579134281000","0.00","13.74","2579.20","50.42","1.34","0.00","479.00","0.00","3.23","0.00","102.30","0.33","3.23"
"1579134291000","0.00","9.21","3472.40","27.48","0.36","0.00","558.90","0.00","5.08","0.00","252.70","1.28","5.08"
"1579134301000","0.00","8.62","2581.20","51.88","0.87","0.00","474.80","0.00","2.11","0.00","99.50","0.21","2.11"
"1579134311000","0.00","13.40","2174.00","62.29","1.92","0.00","408.00","0.00","5.13","0.00","69.80","0.36","5.13"
"1579134321000","0.00","9.09","3420.80","27.50","0.37","0.00","548.80","0.00","5.56","0.00","248.80","1.38","5.56"
"1579134331000","0.00","16.07","2126.80","51.81","1.96","0.00","394.40","0.00","5.35","0.00","82.10","0.44","5.35"
"1579134341000","0.00","9.66","2702.40","46.00","0.82","0.00","491.90","0.00","2.49","0.00","117.50","0.29","2.49"
"1579134351000","0.00","11.18","2877.20","45.31","0.88","0.00","514.80","0.00","3.59","0.00","127.00","0.46","3.59"
"1579134361000","0.00","9.87","3808.80","28.11","0.36","0.00","615.70","0.00","5.18","0.00","271.00","1.41","5.18"
"1579134371000","0.00","10.68","2825.60","50.01","0.95","0.00","525.20","0.00","2.30","0.00","113.00","0.25","2.30"
"1579134381000","0.00","8.50","2973.20","45.95","0.66","0.00","515.50","0.00","1.72","0.00","129.40","0.22","1.72"
"1579134391000","0.00","7.49","3467.20","27.17","0.29","0.00","555.20","0.00","5.58","0.00","255.20","1.42","5.58"
"1579134401000","0.00","6.24","2557.84","49.62","0.61","0.00","461.24","0.00","2.35","0.00","103.10","0.24","2.35"
"1579134411000","0.00","8.59","2687.60","49.04","0.78","0.00","479.00","0.00","1.95","0.00","109.60","0.21","1.95"
"1579134421000","0.00","6.35","3489.20","26.79","0.24","0.00","553.60","0.00","4.74","0.00","260.50","1.23","4.74"
"1579134431000","0.00","9.37","3040.40","46.38","0.71","0.00","547.50","0.00","1.92","0.00","131.10","0.25","1.92"
"1579134441000","0.00","6.83","2435.60","49.01","0.69","0.00","442.10","0.00","1.76","0.00","99.40","0.17","1.76"
"1579134451000","0.00","20.74","4004.80","28.55","0.74","0.00","638.10","0.00","5.23","0.00","280.50","1.47","5.23"
"1579134461000","0.00","7.48","2901.20","45.80","0.59","0.00","524.10","0.00","1.80","0.00","126.70","0.23","1.80"
"1579134471000","0.00","8.74","2934.80","49.12","0.73","0.00","537.40","0.00","2.02","0.00","119.50","0.24","2.02"
